Potential Resistance region,,Region length,Reads mapped to region,reads mapped per kilobase region
gb|JQ733575|+|1027-2173|ARO:3002091|CMY-78,,1147,5,4.36E-06
gb|KU302801|+|102199-102430|ARO:3002831|vgaC,,231,1,4.33E-06
gb|M14039|+|0-486|ARO:3000272|linA,,486,2,4.12E-06
gb|KM087849|+|0-1140|ARO:3002150|DHA-19,,1140,4,3.51E-06
gb|KM087850|+|0-1140|ARO:3002148|DHA-17,,1140,4,3.51E-06
gb|KM087856|+|0-1140|ARO:3002153|DHA-22,,1140,4,3.51E-06
gb|KM087855|+|0-1140|ARO:3002144|DHA-13,,1140,4,3.51E-06
gb|KM087848|+|0-1140|ARO:3002151|DHA-20,,1140,4,3.51E-06
gb|KM087854|+|0-1140|ARO:3002145|DHA-14,,1140,4,3.51E-06
gb|KF992028|+|761-1907|ARO:3001839|ACT-18,,1147,4,3.49E-06
gb|KJ207207|+|479-1625|ARO:3001844|ACT-24,,1147,4,3.49E-06
gb|AJ871869|+|0-873|ARO:3002411|OXY-5-1,,873,3,3.44E-06
gb|AY077481|+|185-1058|ARO:3002410|OXY-4-1,,874,3,3.43E-06
gb|AJ746227|+|94-967|ARO:3002400|OXY-2-5,,874,3,3.43E-06
gb|AB015853|+|145-1315|ARO:3003034|mexX,,1171,4,3.42E-06
gb|JX560992|+|11387-12872|ARO:3003206|lsaE,,1485,5,3.37E-06
gb|JQ762640|+|36-681|ARO:3002763|QnrB48,,645,2,3.10E-06
gb|AF242872|+|3579-4224|ARO:3002844|vatE,,646,2,3.10E-06
gb|S48276|+|478-1129|ARO:3002670|cat,,652,2,3.07E-06
gb|JQ349153|+|0-680|ARO:3002759|QnrB44,,680,2,2.94E-06
gb|DQ631414|+|0-681|ARO:3002724|QnrB10,,681,2,2.94E-06
gb|AF162694|+|5192-5888|ARO:3002922|vanRC,,697,2,2.87E-06
gb|HG970103.1|+|0-1086|ARO:3003949|efrB,,1086,3,2.76E-06
gb|JF273491|+|745-1885|ARO:3002138|DHA-5,,1141,3,2.63E-06
gb|KM087833|+|0-1146|ARO:3001850|ACT-30,,1146,3,2.62E-06
gb|KM926621|+|751-1897|ARO:3003171|ACT-36,,1146,3,2.62E-06
gb|HQ832678|+|0-1146|ARO:3002077|CMY-64,,1146,3,2.62E-06
gb|KM087835|+|0-1146|ARO:3001852|ACT-32,,1146,3,2.62E-06
gb|JX440356|+|754-1900|ARO:3001837|ACT-15,,1147,3,2.62E-06
gb|AY513266|+|164-1310|ARO:3002028|CMY-17,,1147,3,2.62E-06
gb|EF417572|+|29-1175|ARO:3002167|MIR-4,,1147,3,2.62E-06
gb|KJ207209|+|454-1600|ARO:3001847|ACT-27,,1147,3,2.62E-06
gb|AY227054|+|0-765|ARO:3001780|OXA-85,,765,2,2.61E-06
gb|AF137361|+|63-852|ARO:3002605|aadA5,,790,2,2.53E-06
gb|AJ567827|+|0-792|ARO:3002611|aadA11,,792,2,2.53E-06
gb|FJ196385|-|8531-9323|ARO:3000413|sul3,,793,2,2.52E-06
gb|AF525303|+|2770-3586|ARO:3001808|OXA-60,,817,2,2.45E-06
gb|NC_010066|-|9682-10528|ARO:3000621|PC1,,847,2,2.36E-06
gb|HM751100|+|0-861|ARO:3001157|SHV-108,,861,2,2.32E-06
gb|KM114268|+|0-861|ARO:3003157|TEM-219,,861,2,2.32E-06
gb|GQ149243|+|0-873|ARO:3001935|CTX-M-74,,873,2,2.29E-06
gb|GQ149244|+|0-873|ARO:3001936|CTX-M-75,,873,2,2.29E-06
gb|NC_002516.2|-|2503424-2503895|ARO:3004107|Pseudomonas,,471,1,2.12E-06
gb|KF534911|+|39-513|ARO:3003013|dfrA15,,475,1,2.11E-06
gb|L20800|+|2308-4267|ARO:3000195|tetB(P),,1960,4,2.04E-06
gb|NC_002516|+|4707534-4710624|ARO:3000808|mexI,,3091,6,1.94E-06
gb|AB219524.1|+|1176-4338|ARO:3003699|mexQ,,3162,6,1.90E-06
gb|KM087853|+|0-1140|ARO:3002146|DHA-15,,1140,2,1.75E-06
gb|Y16410|+|986-2126|ARO:3002132|DHA-1,,1140,2,1.75E-06
gb|HQ322612|+|0-1140|ARO:3002135|DHA-6,,1140,2,1.75E-06
gb|KM087839|+|0-1146|ARO:3002126|CMY-115,,1146,2,1.75E-06
gb|AB280919|+|0-1146|ARO:3002048|CMY-37,,1146,2,1.75E-06
gb|FJ237368|+|0-1146|ARO:3001830|ACT-7,,1146,2,1.75E-06
gb|KM087834.1|+|0-1146|ARO:3001853|ACT-33,,1146,2,1.75E-06
gb|KF992029|+|748-1894|ARO:3001840|ACT-19,,1147,2,1.74E-06
gb|KF992026|+|753-1899|ARO:3001838|ACT-17,,1147,2,1.74E-06
gb|JQ733579|+|1027-2173|ARO:3002097|CMY-84,,1147,2,1.74E-06
gb|AF024666|+|35934-37110|ARO:3002703|cmx,,1177,2,1.70E-06
gb|CP012901.1|-|5979156-5980365|ARO:3003801|bcr-1,,1209,2,1.65E-06
gb|JN173058|+|36-681|ARO:3002751|QnrB36,,645,1,1.55E-06
gb|KC580660|+|0-645|ARO:3002783|QnrB71,,645,1,1.55E-06
gb|KC580657|+|0-645|ARO:3002780|QnrB68,,645,1,1.55E-06
gb|KC580653|+|0-645|ARO:3002776|QnrB64,,645,1,1.55E-06
gb|JN173056|+|35-683|ARO:3002749|QnrB34,,648,1,1.54E-06
gb|AM774474|+|2431-3079|ARO:3002726|QnrB12,,649,1,1.54E-06
gb|JQ349151|+|0-680|ARO:3002758|QnrB43,,680,1,1.47E-06
gb|U57969|+|4622-6062|ARO:3000802|OprJ,,1441,2,1.39E-06
gb|NC_003197|-|393892-397060|ARO:3000790|mdsB,,3169,4,1.26E-06
gb|AF047479|+|1295-2087|ARO:3002603|aadA3,,793,1,1.26E-06
gb|X64523|-|476-1337|ARO:3000875|TEM-3,,862,1,1.16E-06
gb|AY494945|+|1309-2449|ARO:3002134|DHA-3,,1141,1,8.76E-07
gb|LC004922|+|0-1146|ARO:3001855|ACT-35,,1146,1,8.73E-07
gb|KF150216|+|0-1146|ARO:3002116|CMY-104,,1146,1,8.73E-07
gb|FJ237367|+|0-1146|ARO:3002173|MIR-8,,1146,1,8.73E-07
gb|KM087851|+|0-1146|ARO:3002180|MIR-15,,1146,1,8.73E-07
gb|KM087862|+|0-1146|ARO:3002178|MIR-13,,1146,1,8.73E-07
gb|DQ139328|+|160-1306|ARO:3002032|CMY-21,,1147,1,8.72E-07
gb|HQ185697|+|1267-2413|ARO:3002072|CMY-58,,1147,1,8.72E-07
gb|JX440353|+|1026-2172|ARO:3002090|CMY-77,,1147,1,8.72E-07
gb|KJ207204|+|579-1725|ARO:3002099|CMY-86,,1147,1,8.72E-07
gb|NC_002516|+|472023-473175|ARO:3000377|MexA,,1153,1,8.67E-07
gb|AJ549214|+|176-1604|ARO:3002704|fexA,,1429,1,7.00E-07
gb|U97042|+|1263-4347|ARO:3003010|ceoB,,3085,2,6.48E-07
gb|AY768532|+|0-1935|ARO:3000535|macB,,1935,1,5.17E-07
gb|NC_002516.2|+|3982020-3984009|ARO:3002985|arnA,,1989,1,5.03E-07
gb|KT736121.1|+|0-2721|ARO:3001555|OXA-368,,2721,1,3.68E-07
gb|NC_003112|-|1791966-1795170|ARO:3000811|mtrD,,3205,1,3.12E-07
gb|HQ845196|+|0-861|ARO:3001109|SHV-52,,861,0,0
gb|JX017365|+|244-1120|ARO:3001989|CTX-M-130,,877,0,0
gb|JN967644|+|0-813|ARO:3002356|NDM-6,,813,0,0
gb|AF135373|+|11-908|ARO:3002244|CARB-5,,898,0,0
gb|AY234334|+|0-846|ARO:3000600|Erm(34),,846,0,0
gb|AY628199|+|203-1064|ARO:3000988|TEM-126,,861,0,0
gb|EU408351|+|16572-17454|ARO:3002511|LRA-12,,883,0,0
gb|AF157553|+|147-1008|ARO:3000938|TEM-72,,861,0,0
gb|AF062386|+|30-862|ARO:3000928|TEM-59,,832,0,0
gb|GQ140348|+|0-882|ARO:3002320|KPC-10,,882,0,0
gb|JN861780|+|0-825|ARO:3001711|OXA-212,,825,0,0
gb|AJ243491|+|0-741|ARO:3002193|IMP-2,,741,0,0
gb|X92508|+|332-1481|ARO:3002012|CMY-1,,1150,0,0
gb|KF203103|+|0-822|ARO:3001517|OXA-329,,822,0,0
gb|JN848330|+|0-1146|ARO:3001832|ACT-10,,1146,0,0
gb|AB871653|+|11870-12695|ARO:3001557|OXA-371,,826,0,0
gb|AY047358|+|1710-2352|ARO:3003552|fusB,,642,0,0
gb|JN790862|+|244-1120|ARO:3001980|CTX-M-121,,877,0,0
gb|AY536519|+|37-937|ARO:3002372|VEB-3,,901,0,0
gb|AM399080|-|1664-2150|ARO:3002835|lnuA,,487,0,0
gb|AJ519683|+|281-1076|ARO:3001794|OXA-45,,796,0,0
gb|FJ617207|+|0-828|ARO:3001800|OXA-226,,828,0,0
gb|KM211508|+|0-876|ARO:3003163|CTX-M-155,,876,0,0
gb|NC_007682|+|20649-22125|ARO:3003109|msrE,,1477,0,0
gb|K00432|+|306-1113|ARO:3002649|APH(3')-Va,,808,0,0
gb|U12338|+|5055-5520|ARO:3002528|AAC(3)-Ia,,465,0,0
gb|JX259319|+|0-681|ARO:3002771|QnrB58,,681,0,0
gb|KC544262|+|665-1424|ARO:3003198|rmtH,,759,0,0
gb|NC_003197|+|400859-401324|ARO:3000504|golS,,466,0,0
gb|AM231719|+|0-825|ARO:3001650|OXA-90,,825,0,0
gb|AL123456|+|1853605-1854388|ARO:3003060|tsnr,,784,0,0
gb|AF275256|+|0-885|ARO:3002380|SME-2,,885,0,0
gb|L06161|+|105-945|ARO:3002538|AAC(3)-IIIc,,841,0,0
gb|GQ152600|+|0-1152|ARO:3002188|MOX-5,,1152,0,0
gb|KC292503|+|4334-5195|ARO:3000904|TEM-34,,862,0,0
gb|NC_010410|+|2175316-2176141|ARO:3001617|OXA-69,,826,0,0
gb|AF527798|+|0-785|ARO:3000879|TEM-7,,785,0,0
gb|AB023477|+|0-861|ARO:3001082|SHV-24,,861,0,0
gb|HE616889|+|1826-2627|ARO:3001502|OXA-256,,802,0,0
gb|HQ631376|+|0-657|ARO:3002795|QnrS6,,657,0,0
gb|KF203104|+|0-822|ARO:3001518|OXA-330,,822,0,0
gb|HM146927|+|0-1146|ARO:3002053|CMY-42,,1146,0,0
gb|JQ808129|+|633-1188|ARO:3002546|AAC(6')-Ib,,556,0,0
gb|JQ772478|+|140-1004|ARO:3002350|GES-21,,865,0,0
gb|AF535129|+|0-861|ARO:3001099|SHV-41,,861,0,0
gb|KJ427797|+|0-825|ARO:3001577|OXA-391,,825,0,0
gb|AY491682|+|0-861|ARO:3000996|TEM-132,,861,0,0
gb|KF361506|+|0-813|ARO:3002360|NDM-10,,813,0,0
gb|KC580655|+|0-645|ARO:3002778|QnrB66,,645,0,0
gb|AF535130|+|0-861|ARO:3001100|SHV-42,,861,0,0
gb|AF315786|+|1313-2114|ARO:3001429|OXA-35,,802,0,0
gb|AF132290|+|87-948|ARO:3001076|SHV-18,,862,0,0
gb|Z50108|+|238-1768|ARO:3003026|fusH,,1531,0,0
gb|AM176554|+|30-891|ARO:3001133|SHV-79,,861,0,0
gb|Y10279|+|0-861|ARO:3000916|TEM-47,,861,0,0
gb|X65254|+|175-1036|ARO:3000887|TEM-16,,862,0,0
gb|JX982636|+|0-801|ARO:3002307|VIM-37,,801,0,0
gb|Y11068|+|16-1165|ARO:3002157|FOX-3,,1150,0,0
gb|EU748544|+|0-927|ARO:3002366|PER-4,,927,0,0
gb|AF322577|+|2081-2822|ARO:3002238|IMP-47,,741,0,0
gb|AJ620678|+|0-753|ARO:3000845|GIM-1,,753,0,0
gb|AB753456|+|0-741|ARO:3002233|IMP-42,,741,0,0
gb|AY040093|+|68-929|ARO:3000965|TEM-102,,861,0,0
gb|NC_002156|+|1429-2290|ARO:3000979|TEM-116,,862,0,0
gb|HM544040|+|0-1146|ARO:3002066|CMY-55,,1146,0,0
gb|M97297|+|9052-9963|ARO:3002955|vanYA,,912,0,0
gb|DQ061159|+|346-1222|ARO:3001904|CTX-M-42,,877,0,0
gb|FJ194944|+|46-907|ARO:3001154|SHV-105,,862,0,0
gb|HQ322613|+|0-1146|ARO:3002067|CMY-56,,1146,0,0
gb|KM588354|+|0-825|ARO:3003149|OXA-426,,825,0,0
gb|AF162694|+|2438-3011|ARO:3002966|vanXYC,,574,0,0
gb|AY628175|+|210-1071|ARO:3000972|TEM-109,,861,0,0
gb|AJ698325|-|14502-15417|ARO:3003203|TLA-2,,915,0,0
gb|AJ920369|+|23-860|ARO:3001071|SHV-12,,837,0,0
gb|AY587956|+|0-774|ARO:3001773|OXA-61,,774,0,0
gb|U14749|+|690-1557|ARO:3002243|CARB-4,,868,0,0
gb|AF462019|+|26-656|ARO:3002681|catB9,,631,0,0
gb|U95363|+|0-861|ARO:3000912|TEM-43,,861,0,0
gb|X51891|+|189-1335|ARO:3000326|ErmE,,1147,0,0
gb|AF031329|+|0-441|ARO:3002565|AAC(6')-Iu,,441,0,0
gb|EF420108|+|37-937|ARO:3002375|VEB-5,,901,0,0
gb|Z50802|+|717-1215|ARO:3003012|dfrA13,,499,0,0
gb|AF250872|+|0-861|ARO:3000954|TEM-87,,861,0,0
gb|AM919399|+|0-681|ARO:3002733|QnrB18,,681,0,0
gb|EU408350|-|11679-12585|ARO:3002488|LRA-9,,907,0,0
gb|DQ143913|+|1774-2575|ARO:3002282|VIM-12,,802,0,0
gb|AY138986|+|0-789|ARO:3002604|aadA4,,790,0,0
gb|JX013656|+|0-801|ARO:3002304|VIM-34,,801,0,0
gb|DQ174304|+|4-865|ARO:3001119|SHV-64,,861,0,0
gb|AB529520|+|0-720|ARO:3002263|IND-7,,720,0,0
gb|KP050489|+|0-861|ARO:3001364|SHV-182,,861,0,0
gb|HQ529916|+|110-971|ARO:3001045|TEM-183,,862,0,0
gb|NC_012491|-|4758175-4759207|ARO:3002815|clbB,,1033,0,0
gb|X63451|+|0-1653|ARO:3002828|srmB,,1653,0,0
gb|FFFO01000009.1|+|81760-82162|ARO:3000198|FosX,,402,0,0
gb|JF274246|+|0-876|ARO:3001972|CTX-M-112,,876,0,0
gb|AY847146|+|82-958|ARO:3001912|CTX-M-50,,877,0,0
gb|AB700703|+|161-1022|ARO:3001057|TEM-198,,861,0,0
gb|KC199968|+|0-453|ARO:3002853|arr-8,,453,0,0
gb|JX028276|-|35585-36821|ARO:3002883|rgt1438,,1237,0,0
gb|KJ188748|+|0-885|ARO:3002383|SME-5,,885,0,0
gb|AB061794|+|6017-7166|ARO:3002020|CMY-9,,1150,0,0
gb|AY939911|+|3535-4441|ARO:3002634|APH(2'')-Ie,,907,0,0
gb|X59968|+|507-1686|ARO:3002690|cml,,1180,0,0
gb|L06163|+|531-1074|ARO:3002595|AAC(6')-IIb,,544,0,0
gb|X57102|+|147-912|ARO:3003103|cphA7,,766,0,0
gb|AJ420864|+|155-896|ARO:3002203|IMP-12,,742,0,0
gb|JQ422052|+|1099-1930|ARO:3001692|OXA-229,,832,0,0
gb|AM279652|+|0-825|ARO:3001646|OXA-98,,825,0,0
gb|AF201828|+|0-822|ARO:3001422|OXA-27,,823,0,0
gb|DQ836922|+|0-861|ARO:3001144|SHV-92,,861,0,0
gb|NC_019368.1|+|58200-58833|ARO:3002676|catB3,,633,0,0
gb|FJ755841|+|0-846|ARO:3002432|OKP-A-15,,846,0,0
gb|NC_010400|-|1369124-1370342|ARO:3000777|adeF,,1219,0,0
gb|NC_013450|-|694852-695296|ARO:3000815|mgrA,,445,0,0
gb|JN935137|+|0-861|ARO:3001055|TEM-195,,861,0,0
gb|AB462903|+|1199-1751|ARO:3002574|AAC(6')-Iaf,,553,0,0
gb|AM932669|+|105-603|ARO:3003017|dfrA21,,499,0,0
gb|D16099|+|409-1297|ARO:3001300|myrA,,889,0,0
gb|DQ823382|+|0-1569|ARO:3002830|vgaALC,,1569,0,0
gb|JQ820242|+|0-831|ARO:3001677|OXA-236,,831,0,0
gb|EU586041|+|0-861|ARO:3001112|SHV-56,,861,0,0
gb|FJ234412|+|0-882|ARO:3002318|KPC-8,,882,0,0
gb|KF986257|+|20-845|ARO:3001562|OXA-376,,826,0,0
gb|JF802084|+|559-1591|ARO:3002912|vanN,,1033,0,0
gb|JX311308|+|0-801|ARO:3002299|VIM-29,,801,0,0
gb|EU523697|+|686-1973|ARO:3000572|tet(42),,1287,0,0
gb|GU584222|+|0-747|ARO:3003196|tet(45),,747,0,0
gb|L06940|+|0-1218|ARO:3000173|tet(E),,1218,0,0
gb|AJ012256|+|208-1069|ARO:3000943|TEM-77,,862,0,0
gb|AB372224|+|0-1146|ARO:3002050|CMY-39,,1146,0,0
gb|EU118148|+|1010-1811|ARO:3002287|VIM-17,,802,0,0
gb|JN848782|+|0-741|ARO:3002224|IMP-33,,741,0,0
gb|EF118171|+|3181-3922|ARO:3002210|IMP-19,,742,0,0
gb|AF190693|+|208-1069|ARO:3000944|TEM-78,,862,0,0
gb|EF660562|+|1671-2124|ARO:3002849|arr-4,,454,0,0
gb|AY143430|+|0-876|ARO:3001886|CTX-M-24,,876,0,0
gb|EU515249|+|0-1146|ARO:3002036|CMY-25,,1146,0,0
gb|LC031883|+|5071-5812|ARO:3003659|IMP-51,,742,0,0
gb|M97297|+|6018-6986|ARO:3002942|vanHA,,969,0,0
gb|DQ058663|+|0-657|ARO:3002711|QnrA5,,657,0,0
gb|GU207844|+|0-864|ARO:3002343|GES-14,,864,0,0
gb|NC_007795|-|1360280-1361636|ARO:3000839|arlS,,1357,0,0
gb|HM440348|+|775-1861|ARO:3000549|adeS,,1086,0,0
gb|AJ401618|+|1971-3144|ARO:3002514|OCH-1,,1174,0,0
gb|JX423831|+|2676-3474|ARO:3001778|OXA-232,,799,0,0
gb|U10251|+|180-975|ARO:3001407|OXA-12,,796,0,0
gb|KF297577|+|0-822|ARO:3001535|OXA-348,,822,0,0
gb|DQ193536|+|0-861|ARO:3001141|SHV-89,,861,0,0
gb|AF325134|+|0-876|ARO:3001881|CTX-M-19,,876,0,0
gb|HQ425493|+|0-822|ARO:3001480|OXA-195,,822,0,0
gb|JN704570|+|4038-4836|ARO:3001814|OXA-199,,799,0,0
gb|AY822595|+|22-898|ARO:3001900|CTX-M-38,,877,0,0
gb|AY271267|+|0-861|ARO:3000983|TEM-121,,861,0,0
gb|AJ866284|+|0-861|ARO:3001116|SHV-61,,861,0,0
gb|EF210159|+|0-876|ARO:3001919|CTX-M-58,,877,0,0
gb|EF374097|+|0-876|ARO:3001918|CTX-M-56,,876,0,0
gb|AY853593|+|214-1075|ARO:3001002|TEM-138,,862,0,0
gb|AY265889|+|0-458|ARO:3002477|LEN-14,,459,0,0
gb|AJ295341|+|0-1173|ARO:3002516|OCH-3,,1173,0,0
gb|EU155018|+|0-861|ARO:3001150|SHV-101,,861,0,0
gb|KP096412|+|0-801|ARO:3003179|VIM-43,,801,0,0
gb|V01499|+|230-1256|ARO:3002655|APH(4)-Ia,,1027,0,0
gb|AB016934|+|6575-7376|ARO:3000423|FomA,,802,0,0
gb|FN554543|+|0-864|ARO:3002341|GES-12,,864,0,0
gb|AF355189|+|1434-2439|ARO:3002600|AAC(3)-Ib/AAC(6')-Ib'',,1006,0,0
gb|AY070258|+|0-861|ARO:3001093|SHV-35,,861,0,0
gb|KC783461|+|0-861|ARO:3001383|TEM-206,,861,0,0
gb|Y10693|+|0-828|ARO:3001416|OXA-21,,828,0,0
gb|HQ661362|+|71-932|ARO:3001168|SHV-121,,862,0,0
gb|L20573|+|2064-2676|ARO:3003250|bcrC,,613,0,0
gb|AJ635423|+|0-789|ARO:3002459|LEN-9,,789,0,0
gb|M97297|+|8016-8624|ARO:3002949|vanXA,,609,0,0
gb|AB261016|+|3068-3728|ARO:3002665|npmA,,661,0,0
gb|AM850916|+|18-879|ARO:3002429|OKP-A-12,,861,0,0
gb|AF143804|+|0-861|ARO:3000959|TEM-92,,861,0,0
gb|AY028464|+|442-1189|ARO:3000840|JOHN-1,,748,0,0
gb|AB113580|+|1329-2193|ARO:3002332|GES-3,,865,0,0
gb|AY227752|+|88-1234|ARO:3002168|MIR-2,,1146,0,0
gb|FJ873739|+|0-875|ARO:3001948|CTX-M-88,,875,0,0
gb|EF653400|+|434-1259|ARO:3001644|OXA-113,,825,0,0
gb|AM051152|+|0-861|ARO:3002436|OKP-B-3,,861,0,0
gb|NC_003197|-|2039657-2040380|ARO:3000826|sdiA,,724,0,0
gb|EU250284|+|2574-3564|ARO:3002973|vanTmL,,991,0,0
gb|KM433671|+|0-822|ARO:3003160|OXA-422,,822,0,0
gb|HM113564|+|0-825|ARO:3001472|OXA-178,,825,0,0
gb|AJ548797|+|923-1688|ARO:3003094|imiH,,765,0,0
gb|AM850911|+|0-861|ARO:3002468|LEN-21,,861,0,0
gb|KF730652|+|0-657|ARO:3002797|QnrS8,,657,0,0
gb|JN205800|+|4140-4938|ARO:3001784|OXA-181,,799,0,0
gb|NZ_CP007547.1|+|0-747|ARO:3000579|BlaB,,747,0,0
gb|HQ661363|+|71-932|ARO:3001181|SHV-137,,862,0,0
gb|DQ309277|+|0-825|ARO:3001623|OXA-83,,825,0,0
gb|AF155139|+|1511-2207|ARO:3002925|vanRF,,697,0,0
gb|JX121119|+|0-858|ARO:3001191|SHV-152,,858,0,0
gb|M55547|+|0-825|ARO:3001404|OXA-9,,825,0,0
gb|HE981194|+|0-861|ARO:3001347|SHV-164,,861,0,0
gb|AY115475|+|3337-4597|ARO:3002695|cmlA5,,1261,0,0
gb|AB703103|+|0-876|ARO:3001985|CTX-M-126,,876,0,0
gb|EF534736|+|213-1074|ARO:3001024|TEM-158,,861,0,0
gb|AM051159|+|0-861|ARO:3002442|OKP-B-9,,861,0,0
gb|Z12001|+|992-2168|ARO:3002701|cmr,,1177,0,0
gb|M29953|+|295-1048|ARO:3002654|APH(3')-VIIa,,754,0,0
gb|U94857|+|0-996|ARO:3002662|APH(9)-Ia,,996,0,0
gb|GQ853681|+|0-825|ARO:3001455|OXA-150,,825,0,0
gb|FR853176|+|0-825|ARO:3001486|OXA-208,,825,0,0
gb|X97721|+|0-876|ARO:3000592|ErmN,,876,0,0
gb|AY524987|+|0-801|ARO:3002278|VIM-8,,801,0,0
gb|AJ972619|+|82-640|ARO:3002856|dfrA24,,559,0,0
gb|GU932590|+|0-861|ARO:3001175|SHV-128,,861,0,0
gb|EU273755|+|0-681|ARO:3002727|QnrB13,,681,0,0
gb|AJ488303|+|0-810|ARO:3001770|OXA-43,,810,0,0
gb|AF167990|+|612-1761|ARO:3002019|CMY-8,,1150,0,0
gb|AM850910|+|0-861|ARO:3002467|LEN-20,,861,0,0
gb|Y15130|+|0-1143|ARO:3002015|CMY-4,,1143,0,0
gb|FJ825622|+|0-900|ARO:3002376|VEB-7,,900,0,0
gb|HM113560|+|0-825|ARO:3001658|OXA-174,,825,0,0
gb|AM051151|+|0-861|ARO:3002435|OKP-B-2,,861,0,0
gb|AB049569|+|0-861|ARO:3000958|TEM-91,,861,0,0
gb|Y10415|+|125-893|ARO:3003095|imiS,,769,0,0
gb|JF274244|-|0-863|ARO:3001967|CTX-M-107,,864,0,0
gb|AY005110|+|0-846|ARO:3001874|CTX-M-11,,846,0,0
gb|JQ724542|+|174-1050|ARO:3001984|CTX-M-125,,877,0,0
gb|AJ252200|+|81-1266|ARO:3003055|smeD,,1186,0,0
gb|AY874537|+|177-1038|ARO:3000883|TEM-11,,862,0,0
gb|JX121129|+|0-858|ARO:3001201|SHV-162,,858,0,0
gb|AF091113|+|450-1311|ARO:3000934|TEM-67,,862,0,0
gb|JF460794|+|0-1146|ARO:3002073|CMY-60,,1146,0,0
gb|AF368302|+|2716-3331|ARO:3002843|vatD,,616,0,0
gb|Y14574|+|0-861|ARO:3000888|TEM-17,,861,0,0
gb|KP050487.1|+|0-861|ARO:3001350|SHV-180,,861,0,0
gb|FJ790516|+|1287-2085|ARO:3001804|OXA-145,,799,0,0
gb|GQ242167|+|0-801|ARO:3002293|VIM-23,,802,0,0
gb|DQ212986|+|4222-5062|ARO:3002959|vanYG1,,841,0,0
gb|X80277|+|0-1149|ARO:3003553|CepS,,1149,0,0
gb|AF263519|+|1402-1798|ARO:3002583|AAC(6')-29a,,397,0,0
gb|JX514369|+|296-1442|ARO:3002108|CMY-95,,1147,0,0
gb|KC818234|+|0-861|ARO:3001384|TEM-207,,862,0,0
gb|HM245379|+|56-788|ARO:3002267|IND-11,,733,0,0
gb|AY509120|-|22652-23495|ARO:3001302|chrB,,844,0,0
gb|AY037778|+|91-952|ARO:3001090|SHV-32,,862,0,0
gb|HQ398214|+|249-1125|ARO:3001960|CTX-M-101,,877,0,0
gb|AM176553|+|30-891|ARO:3001132|SHV-78,,861,0,0
gb|AF219127|+|0-732|ARO:3002257|IND-2,,732,0,0
gb|HM488988|+|0-822|ARO:3001467|OXA-167,,822,0,0
gb|GQ861437|+|2913-3741|ARO:3001654|OXA-143,,829,0,0
gb|GU550123|+|144-1005|ARO:3001041|TEM-176,,862,0,0
gb|AF259520|+|1512-2652|ARO:3002133|DHA-2,,1141,0,0
gb|AB177384|+|0-876|ARO:3001898|CTX-M-36,,876,0,0
gb|AM087454|+|208-1069|ARO:3001015|TEM-148,,862,0,0
gb|KF421161|+|0-822|ARO:3001545|OXA-358,,822,0,0
gb|KP050485|+|0-822|ARO:3001553|OXA-366,,822,0,0
gb|AB176534|+|0-876|ARO:3001897|CTX-M-35,,876,0,0
gb|Y17896|+|0-849|ARO:3000606|FEZ-1,,849,0,0
gb|AM850913|+|0-861|ARO:3002470|LEN-23,,861,0,0
gb|JN638887|+|0-822|ARO:3001493|OXA-225,,822,0,0
gb|HQ874631|+|0-864|ARO:3002346|GES-17,,864,0,0
gb|AJ487033|+|1685-2858|ARO:3002691|cmlA,,1174,0,0
gb|KP050493|+|0-876|ARO:3003167|CTX-M-159,,876,0,0
gb|GU045307|+|100-841|ARO:3002217|IMP-26,,742,0,0
gb|FJ197316|+|0-861|ARO:3001032|TEM-166,,861,0,0
gb|X53650|+|320-1235|ARO:3003565|r39,,915,0,0
gb|CP007005|+|1250264-1251203|ARO:3003186|CARB-23,,940,0,0
gb|CP013924.1|+|2063742-2065140|ARO:3003811|adeC,,1398,0,0
gb|AJ223604|+|1484-2225|ARO:3002192|IMP-1,,742,0,0
gb|AF173226|-|1037-2441|ARO:3003067|smeS,,1405,0,0
gb|LN515534|+|0-873|ARO:3003155|SHV-188,,873,0,0
gb|L20573|+|297-1218|ARO:3002987|bcrA,,922,0,0
gb|FJ981622|+|0-681|ARO:3002738|QnrB23,,681,0,0
gb|AF491278|+|183-1050|ARO:3002409|OXY-3-1,,868,0,0
gb|EU250284|+|954-2004|ARO:3002910|vanL,,1051,0,0
gb|AL009126|+|1376854-1377172|ARO:3003064|ykkD,,319,0,0
gb|Y11069|+|0-780|ARO:3001065|SHV-6,,780,0,0
gb|HM192542|+|0-681|ARO:3002739|QnrB24,,681,0,0
gb|AL513383|+|161910-162771|ARO:3000873|TEM-1,,862,0,0
gb|X62867|+|360-1197|ARO:3001305|ErmU,,838,0,0
gb|KC469971|+|0-801|ARO:3002308|VIM-38,,801,0,0
gb|JN680743|+|0-645|ARO:3002757|QnrB42,,645,0,0
gb|AY589493|+|166-1027|ARO:3000975|TEM-112,,861,0,0
gb|AF144880|+|3541-3979|ARO:3002569|AAC(6')-Iy,,439,0,0
gb|KC771279|+|0-831|ARO:3001681|OXA-278,,831,0,0
gb|AB916359|+|793-1708|ARO:3002008|CTX-M-151,,916,0,0
gb|DQ679961|+|114-975|ARO:3001021|TEM-155,,862,0,0
gb|AY307100|+|0-861|ARO:3000984|TEM-122,,861,0,0
